city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
Sur,OM,1631344956,22.5667,59.5289,35.76,42,22,1.85
Takhli,TH,1631344957,15.2634,100.3438,29.23,72,90,3.31
Kargasok,RU,1631344957,59.0556,80.8572,9.25,97,100,2.86
Gondanglegi,ID,1631344958,-7.7479,112.0132,30.09,57,91,7.17
Cap Malheureux,MU,1631344959,-19.9842,57.6142,24.7,67,0,5.81
Kruisfontein,ZA,1631344960,-34.0033,24.7314,22.67,43,7,0.52
Santiago del Estero,AR,1631344961,-27.7951,-64.2615,12.11,41,0,3.71
Kloulklubed,PW,1631344962,7.0419,134.2556,25.28,71,100,3.85
Mitsamiouli,KM,1631344963,-11.3847,43.2844,30.16,54,40,4.12
Easton,US,1631344964,40.6884,-75.2207,14.16,91,1,0.0
Naze,JP,1631344965,28.3667,129.4833,29.51,75,100,3.88
Linhares,BR,1631344966,-19.3911,-40.0722,20.22,95,21,1.14
Port Lincoln,AU,1631344966,-34.7333,135.8667,14.67,68,98,9.08
Tual,ID,1631344967,-5.6667,132.75,26.84,80,18,5.35
Barentu,ER,1631344969,15.1139,37.5928,25.14,64,12,2.03
Saint-Pierre,RE,1631344970,-21.3393,55.4781,25.8,69,0,11.83
Nebolchi,RU,1631344971,59.1239,33.3454,12.7,87,100,2.25
Cidreira,BR,1631344972,-30.1811,-50.2056,15.5,72,100,4.29
Kenmare,IE,1631344973,51.8833,-9.5833,12.19,93,100,1.16
Ancud,CL,1631344974,-41.8697,-73.8203,9.74,97,100,4.37
Alofi,NU,1631344976,-19.0595,-169.9187,22.94,100,95,1.54
Karratha,AU,1631344977,-20.7377,116.8463,28.49,37,0,7.59
Tianpeng,CN,1631344978,30.9866,103.9393,25.26,57,62,2.37
Lagoa,PT,1631344979,39.05,-27.9833,20.52,74,46,8.68
Muros,ES,1631344980,42.7762,-9.0603,17.77,96,100,2.64
Armeniş,RO,1631344981,45.2,22.3167,21.35,37,0,0.83
Hermanus,ZA,1631344982,-34.4187,19.2345,12.72,62,100,1.95
Saint George,US,1631344696,37.1041,-113.5841,31.33,32,1,0.45
Kaitangata,NZ,1631344983,-46.2817,169.8464,6.36,88,98,2.25
Grand Forks,US,1631344984,47.9417,-97.4337,16.85,67,1,6.17
Sines Municipality,PT,1631344839,37.9562,-8.8698,19.6,90,100,0.64
Sarkand,KZ,1631344985,45.41,79.9186,22.64,18,0,3.24
Dhidhdhoo,MV,1631344986,6.8833,73.1,28.15,71,100,5.22
Ust-Maya,RU,1631344987,60.4167,134.5333,17.43,33,88,2.06
San Quintín,MX,1631344988,30.4833,-115.95,22.24,86,2,4.99
Uryupinsk,RU,1631344989,50.8047,42.0138,20.2,58,100,2.43
Arraial do Cabo,BR,1631344989,-22.9661,-42.0278,21.46,94,100,4.93
Srednekolymsk,RU,1631344990,67.45,153.6833,3.77,51,23,2.79
Río Cuarto,AR,1631344991,-33.1307,-64.3499,6.57,60,100,6.96
Carnarvon,AU,1631344992,-24.8667,113.6333,22.04,43,0,11.32
Atambua,ID,1631344993,-9.1061,124.8925,28.14,56,82,0.77
Samarai,PG,1631344994,-10.6167,150.6667,26.07,86,100,7.45
Moerai,PF,1631344995,-22.4333,-151.3333,21.87,59,0,4.61
Mozarlândia,BR,1631344996,-14.7447,-50.5706,26.32,28,0,1.52
Bethel,US,1631344997,41.3712,-73.414,13.91,87,1,1.54
Green River,US,1631344747,41.5286,-109.4662,15.22,42,40,2.78
Dwārka,IN,1631344999,22.2394,68.9678,29.11,78,100,5.32
Daru,PG,1631345000,-9.0763,143.2092,25.9,90,100,7.12
Manacor,ES,1631345000,39.5696,3.2096,25.28,63,22,3.25
Borogontsy,RU,1631345001,62.6683,131.1683,16.37,31,100,1.12
Cercal,PT,1631345003,37.806,-8.6715,18.74,83,98,0.34
Henties Bay,NA,1631345003,-22.116,14.2845,16.01,67,4,1.88
Horadiz,AZ,1631345004,39.4488,47.3353,25.43,36,0,2.68
Cabo San Lucas,MX,1631345005,22.8909,-109.9124,26.4,89,61,3.58
Okitipupa,NG,1631345006,6.5047,4.7839,22.88,98,100,1.48
Ribeira Grande,PT,1631345007,38.5167,-28.7,20.22,77,40,4.63
Doha,QA,1631344807,25.2867,51.5333,38.17,40,0,3.09
Narsaq,GL,1631345008,60.9167,-46.05,6.12,84,100,2.11
Luwuk,ID,1631345009,-0.9516,122.7875,27.24,86,100,1.34
La Palma del Condado,ES,1631345010,37.3861,-6.5523,21.91,59,100,2.01
Nkhata Bay,MW,1631345011,-11.6066,34.2907,23.51,55,18,4.86
Broken Hill,AU,1631345012,-31.95,141.4333,28.84,6,0,6.17
Alice Springs,AU,1631345012,-23.7,133.8833,29.75,8,0,3.6
Peniche,PT,1631345013,39.3558,-9.3811,20.16,93,100,2.06
Belaya Gora,RU,1631345014,68.5333,146.4167,6.2,55,100,3.08
Ponta do Sol,PT,1631345015,32.6667,-17.1,22.62,77,12,1.64
Magadan,RU,1631344844,59.5667,150.8,8.86,43,6,5.14
Kembé,CF,1631345016,4.6228,21.8865,23.6,77,88,0.69
Acapulco de Juárez,MX,1631345018,16.8634,-99.8901,25.61,90,95,2.11
San Cristobal,VE,1631345019,7.7669,-72.225,19.04,99,100,2.15
São João da Barra,BR,1631344914,-21.6403,-41.0511,22.29,92,100,2.15
Dakar,SN,1631344998,14.6937,-17.4441,26.07,89,40,6.17
Key West,US,1631344956,24.5557,-81.7826,30.0,68,20,2.57
Beloha,MG,1631345023,-25.1667,45.05,22.92,43,37,8.98
Yar-Sale,RU,1631345023,66.8333,70.8333,9.53,63,100,4.07
Muroto-misakicho,JP,1631345024,33.2833,134.15,27.02,77,100,0.5
Solnechnyy,RU,1631345025,50.7214,136.6319,9.27,95,100,3.32
Fort Frances,CA,1631344732,48.5999,-93.4003,17.12,75,20,3.13
Buraidah,SA,1631345027,26.326,43.975,34.25,11,13,2.88
Tura,IN,1631345028,25.5198,90.2201,30.52,68,100,1.59
Berlevåg,NO,1631345029,70.8578,29.0864,6.58,74,83,7.25
Neiafu,TO,1631345030,-18.65,-173.9833,24.98,77,96,3.36
Garoua Boulaï,CM,1631345030,5.8833,14.55,19.83,89,100,1.94
Hay River,CA,1631345032,60.8156,-115.7999,6.99,87,40,3.09
Mopipi,BW,1631345033,-21.1833,24.8833,18.8,40,0,7.96
Meadow Lake,US,1631345034,34.8014,-106.5436,25.09,27,0,3.36
Camacha,PT,1631345034,33.0833,-16.3333,20.68,88,40,0.0
São Filipe,CV,1631345036,14.8961,-24.4956,25.34,79,52,0.72
Antalaha,MG,1631345037,-14.9003,50.2788,24.1,65,68,6.13
Chaman,PK,1631345037,30.9236,66.4512,29.76,14,0,2.97
Bahía Blanca,AR,1631345038,-38.7196,-62.2724,10.09,85,16,3.45
Nome,US,1631345039,64.5011,-165.4064,8.04,72,40,5.66
Castro,BR,1631345041,-24.7911,-50.0119,12.11,61,99,1.79
Douentza,ML,1631345041,14.9951,-2.9517,27.59,62,100,3.01
Portland,US,1631344804,45.5234,-122.6762,17.49,78,75,0.89
Kathmandu,NP,1631344324,27.7167,85.3167,29.12,58,75,2.57
Chulym,RU,1631345044,55.0997,80.9572,14.61,56,95,7.74
Zhongshu,CN,1631345045,24.5167,103.7667,25.89,46,0,2.73
Suez,EG,1631345046,29.9737,32.5263,26.22,57,0,4.43
Vanavara,RU,1631345047,60.34,102.2797,13.75,41,100,1.81
Anadyr,RU,1631345048,64.75,177.4833,0.28,100,75,6.0
Abu Dhabi,AE,1631345049,24.4667,54.3667,38.06,53,3,3.09
Shīeli,KZ,1631345050,44.1667,66.75,24.36,16,0,4.02
Bukama,CD,1631345051,-9.2,25.85,29.54,24,35,4.05
Murakami,JP,1631345051,38.2333,139.4833,25.06,68,12,2.33
Saint-François,FR,1631345052,46.4154,3.9054,17.49,88,90,1.54
Najrān,SA,1631345053,17.4924,44.1277,33.36,12,25,2.8
Guerrero Negro,MX,1631345054,27.9769,-114.0611,23.06,82,57,4.77
Mahrīz,IR,1631345055,31.5917,54.4318,30.28,14,0,2.11
Meulaboh,ID,1631345056,4.1363,96.1285,29.48,67,99,3.11
Mizhou,CN,1631345057,35.9947,119.3975,30.47,58,0,3.07
